Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuites-dgnSPY,,,,2021-05-24 22:50:11,2021-05-24 22:50:47,35.704s,PASSED
,,,,,,,
Test Cases/Spy Mobile/penjumlahan,,,,2021-05-24 22:50:12,2021-05-24 22:50:32,19.506s,PASSED
"startApplication(""C:\Users\arieh\Downloads\Calculator_v7.8 (271241277)_apkpure.com.apk"", false)",,,,2021-05-24 22:50:13,2021-05-24 22:50:27,14.375s,PASSED
"tap(findTestObject(""Objek baru/2""), 0)",,,,2021-05-24 22:50:27,2021-05-24 22:50:29,1.387s,PASSED
"tap(findTestObject(""Objek baru/tambah""), 0)",,,,2021-05-24 22:50:29,2021-05-24 22:50:30,1.065s,PASSED
"tap(findTestObject(""Objek baru/8""), 0)",,,,2021-05-24 22:50:30,2021-05-24 22:50:30,0.514s,PASSED
"tap(findTestObject(""Objek baru/samadengan""), 0)",,,,2021-05-24 22:50:30,2021-05-24 22:50:31,0.915s,PASSED
"getText(findTestObject(""Objek baru/validasiteks""), 10)",,,,2021-05-24 22:50:31,2021-05-24 22:50:32,0.782s,PASSED
,,,,,,,
Test Cases/Spy Mobile/pengurangan,,,,2021-05-24 22:50:32,2021-05-24 22:50:37,5.072s,PASSED
"tap(findTestObject(""Objek baru/9""), 0)",,,,2021-05-24 22:50:32,2021-05-24 22:50:33,1.058s,PASSED
"tap(findTestObject(""Objek baru/kurang""), 0)",,,,2021-05-24 22:50:33,2021-05-24 22:50:35,1.549s,PASSED
"tap(findTestObject(""Objek baru/8""), 0)",,,,2021-05-24 22:50:35,2021-05-24 22:50:35,0.453s,PASSED
"tap(findTestObject(""Objek baru/samadengan""), 0)",,,,2021-05-24 22:50:35,2021-05-24 22:50:36,0.781s,PASSED
"getText(findTestObject(""Objek baru/validasiteks""), 1)",,,,2021-05-24 22:50:36,2021-05-24 22:50:37,0.898s,PASSED
,,,,,,,
Test Cases/Spy Mobile/perkalian,,,,2021-05-24 22:50:37,2021-05-24 22:50:42,4.922s,PASSED
"tap(findTestObject(""Objek baru/6""), 0)",,,,2021-05-24 22:50:37,2021-05-24 22:50:39,1.462s,PASSED
"tap(findTestObject(""Objek baru/kali""), 0)",,,,2021-05-24 22:50:39,2021-05-24 22:50:40,1.004s,PASSED
"tap(findTestObject(""Objek baru/5""), 0)",,,,2021-05-24 22:50:40,2021-05-24 22:50:40,0.512s,PASSED
"tap(findTestObject(""Objek baru/samadengan""), 0)",,,,2021-05-24 22:50:40,2021-05-24 22:50:41,0.914s,PASSED
"getText(findTestObject(""Objek baru/validasiteks""), 30)",,,,2021-05-24 22:50:41,2021-05-24 22:50:42,0.701s,PASSED
,,,,,,,
Test Cases/Spy Mobile/pembagian,,,,2021-05-24 22:50:42,2021-05-24 22:50:47,5.033s,PASSED
"tap(findTestObject(""Objek baru/9""), 0)",,,,2021-05-24 22:50:42,2021-05-24 22:50:44,1.422s,PASSED
"tap(findTestObject(""Objek baru/bagi""), 0)",,,,2021-05-24 22:50:44,2021-05-24 22:50:44,0.536s,PASSED
"tap(findTestObject(""Objek baru/3""), 0)",,,,2021-05-24 22:50:44,2021-05-24 22:50:46,1.376s,PASSED
"tap(findTestObject(""Objek baru/samadengan""), 0)",,,,2021-05-24 22:50:46,2021-05-24 22:50:46,0.507s,PASSED
"getText(findTestObject(""Objek baru/validasiteks""), 3)",,,,2021-05-24 22:50:46,2021-05-24 22:50:47,0.875s,PASSED
