Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuites-RECORD,,,,2021-05-24 22:47:23,2021-05-24 22:48:00,37.179s,PASSED
,,,,,,,
Test Cases/Record Mobile/penjumlahan rec,,,,2021-05-24 22:47:25,2021-05-24 22:47:45,20.537s,PASSED
"startApplication(""C:\Users\arieh\Downloads\Calculator_v7.8 (271241277)_apkpure.com.apk"", true)",,,,2021-05-24 22:47:25,2021-05-24 22:47:40,14.697s,PASSED
"tap(findTestObject(""Objek Record/android.widget.Button - 2""), 0)",,,,2021-05-24 22:47:40,2021-05-24 22:47:41,1.441s,PASSED
"tap(findTestObject(""Objek Record/android.widget.Button - ""), 0)",,,,2021-05-24 22:47:41,2021-05-24 22:47:42,1.041s,PASSED
"tap(findTestObject(""Objek Record/android.widget.Button - 8""), 0)",,,,2021-05-24 22:47:42,2021-05-24 22:47:44,1.464s,PASSED
"tap(findTestObject(""Objek Record/android.widget.Button -  (3)""), 0)",,,,2021-05-24 22:47:44,2021-05-24 22:47:44,0.548s,PASSED
"getText(findTestObject(""Object Repository/Objek Record/android.widget.TextView - 10""), 0)",,,,2021-05-24 22:47:44,2021-05-24 22:47:45,0.804s,PASSED
,,,,,,,
Test Cases/Record Mobile/pengurangan rec,,,,2021-05-24 22:47:45,2021-05-24 22:47:50,5.312s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button - 9""), 0)",,,,2021-05-24 22:47:45,2021-05-24 22:47:47,1.537s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button -  (2)""), 0)",,,,2021-05-24 22:47:47,2021-05-24 22:47:48,0.982s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button - 8 (1)""), 0)",,,,2021-05-24 22:47:48,2021-05-24 22:47:49,0.938s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button -  (3)""), 0)",,,,2021-05-24 22:47:49,2021-05-24 22:47:49,0.534s,PASSED
"getText(findTestObject(""Object Repository/Objek Record/android.widget.TextView - 1""), 0)",,,,2021-05-24 22:47:49,2021-05-24 22:47:50,0.924s,PASSED
,,,,,,,
Test Cases/Record Mobile/perkalian rec,,,,2021-05-24 22:47:50,2021-05-24 22:47:55,5.120s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button - 6""), 0)",,,,2021-05-24 22:47:51,2021-05-24 22:47:52,1.028s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button -  (4)""), 0)",,,,2021-05-24 22:47:52,2021-05-24 22:47:53,1.002s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button - 5""), 0)",,,,2021-05-24 22:47:53,2021-05-24 22:47:54,1.131s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button -  (5)""), 0)",,,,2021-05-24 22:47:54,2021-05-24 22:47:55,0.538s,PASSED
"getText(findTestObject(""Object Repository/Objek Record/android.widget.TextView - 30""), 0)",,,,2021-05-24 22:47:55,2021-05-24 22:47:55,0.840s,PASSED
,,,,,,,
Test Cases/Record Mobile/pembagian rec,,,,2021-05-24 22:47:55,2021-05-24 22:48:00,4.855s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button - 9 (1)""), 0)",,,,2021-05-24 22:47:56,2021-05-24 22:47:56,0.481s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button -  (6)""), 0)",,,,2021-05-24 22:47:56,2021-05-24 22:47:58,1.760s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button - 3""), 0)",,,,2021-05-24 22:47:58,2021-05-24 22:47:59,0.985s,PASSED
"tap(findTestObject(""Object Repository/Objek Record/android.widget.Button -  (7)""), 0)",,,,2021-05-24 22:47:59,2021-05-24 22:48:00,0.479s,PASSED
"getText(findTestObject(""Object Repository/Objek Record/android.widget.TextView - 3""), 0)",,,,2021-05-24 22:48:00,2021-05-24 22:48:00,0.753s,PASSED
